year,sport,c1,c2,c
2008,Aquatics,AUS,AUT,1
2008,Aquatics,AUS,BRA,1
2008,Aquatics,AUS,CAN,1
2008,Aquatics,AUS,CHN,5
2008,Aquatics,AUS,FRA,3
2008,Aquatics,AUS,GER,2
2008,Aquatics,AUS,JPN,2
2008,Aquatics,AUS,MEX,1
2008,Aquatics,AUS,NED,2
2008,Aquatics,AUS,NOR,1
2008,Aquatics,AUS,RUS,2
2008,Aquatics,AUS,SRB,1
2008,Aquatics,AUS,TUN,1
2008,Aquatics,AUS,USA,17
2008,Aquatics,AUS,ZIM,2
2008,Aquatics,AUT,AUS,1
2008,Aquatics,AUT,USA,1
2008,Aquatics,BRA,AUS,1
2008,Aquatics,BRA,FRA,2
2008,Aquatics,CAN,AUS,1
2008,Aquatics,CAN,CHN,2
2008,Aquatics,CAN,TUN,1
2008,Aquatics,CHN,AUS,5
2008,Aquatics,CHN,CAN,2
2008,Aquatics,CHN,ESP,1
2008,Aquatics,CHN,GER,2
2008,Aquatics,CHN,ITA,1
2008,Aquatics,CHN,KOR,1
2008,Aquatics,CHN,MEX,1
2008,Aquatics,CHN,RUS,6
2008,Aquatics,CHN,SLO,1
2008,Aquatics,CHN,UKR,1
2008,Aquatics,CHN,USA,3
2008,Aquatics,DEN,GBR,1
2008,Aquatics,DEN,ITA,1
2008,Aquatics,ESP,CHN,1
2008,Aquatics,ESP,JPN,1
2008,Aquatics,ESP,RUS,2
2008,Aquatics,FRA,AUS,3
2008,Aquatics,FRA,BRA,2
2008,Aquatics,FRA,JPN,2
2008,Aquatics,FRA,NOR,1
2008,Aquatics,FRA,USA,2
2008,Aquatics,GBR,DEN,1
2008,Aquatics,GBR,GER,1
2008,Aquatics,GBR,ITA,1
2008,Aquatics,GBR,NED,1
2008,Aquatics,GBR,RUS,1
2008,Aquatics,GBR,USA,1
2008,Aquatics,GER,AUS,2
2008,Aquatics,GER,CHN,2
2008,Aquatics,GER,GBR,1
2008,Aquatics,GER,NED,1
2008,Aquatics,GER,RUS,2
2008,Aquatics,GER,USA,2
2008,Aquatics,HUN,JPN,1
2008,Aquatics,HUN,SRB,1
2008,Aquatics,HUN,USA,4
2008,Aquatics,ITA,CHN,1
2008,Aquatics,ITA,DEN,1
2008,Aquatics,ITA,GBR,1
2008,Aquatics,ITA,SLO,1
2008,Aquatics,JPN,AUS,2
2008,Aquatics,JPN,ESP,1
2008,Aquatics,JPN,FRA,2
2008,Aquatics,JPN,HUN,1
2008,Aquatics,JPN,NOR,1
2008,Aquatics,JPN,RUS,1
2008,Aquatics,JPN,USA,3
2008,Aquatics,JPN,ZIM,1
2008,Aquatics,KOR,CHN,1
2008,Aquatics,KOR,USA,2
2008,Aquatics,MEX,AUS,1
